brand_model,year,price,transmission,mileage,fuelType,tax,milesPerGallon,engineSize
Ford_Fiesta,2014,4699,Manual,85000,Petrol,30,54.3,1.2
Ford_EcoSport,2017,9949,Manual,23000,Petrol,125,53.3,1.0
Ford_C-MAX,2017,11498,Manual,9995,Petrol,145,55.4,1.0
Ford_C-MAX,2017,10898,Manual,12626,Petrol,30,55.4,1.0
Ford_C-MAX,2018,12998,Manual,7320,Petrol,145,55.4,1.0
Ford_C-MAX,2019,13498,Manual,23394,Petrol,145,48.7,1.0
Ford_C-MAX,2017,9998,Manual,12932,Diesel,20,68.9,1.5
Ford_Focus,2019,18998,Automatic,22246,Diesel,150,64.2,2.0
Ford_Fiesta,2019,11798,Manual,5530,Petrol,150,48.7,1.1
Ford_Fiesta,2019,11798,Manual,4590,Petrol,150,48.7,1.1
Ford_Fiesta,2017,8498,Manual,28479,Petrol,0,65.7,1.0
Ford_Kuga,2013,8998,Manual,67895,Diesel,200,47.9,2.0
Ford_Focus,2019,14799,Manual,6249,Petrol,145,60.1,1.0
Ford_Focus,2019,14799,Manual,8560,Petrol,145,60.1,1.0
Ford_Mustang,2020,42489,Automatic,3500,Petrol,145,22.1,5.0
Ford_Kuga,2017,17498,Manual,9940,Petrol,145,45.6,1.5
Ford_Focus,2019,16498,Manual,4930,Petrol,145,60.1,1.0
Ford_Focus,2018,19698,Manual,12011,Petrol,145,41.5,2.0
Ford_Fiesta,2016,8498,Manual,23053,Petrol,125,54.3,1.2
Ford_Focus,2016,16998,Manual,17589,Petrol,200,41.5,2.0
Ford_Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0
Ford_Grand Tourneo Connect,2019,19999,Manual,3500,Diesel,145,61.4,1.5
Ford_Kuga,2019,20999,Automatic,5500,Diesel,145,47.9,2.0
Ford_Focus,2019,14998,Manual,7000,Petrol,145,60.1,1.0
Ford_Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0
Ford_EcoSport,2019,13998,Manual,5000,Diesel,145,68.9,1.5
Ford_Kuga,2017,13898,Manual,33026,Diesel,145,60.1,2.0
Ford_Fiesta,2016,11498,Manual,8560,Petrol,0,65.7,1.0
Ford_Focus,2018,19698,Manual,16548,Petrol,145,41.5,2.0
Ford_Focus,2017,10498,Manual,49485,Diesel,0,74.3,1.5
Ford_Mondeo,2017,17498,Semi-Auto,14569,Diesel,145,53.3,2.0
Ford_Kuga,2015,12498,Manual,60151,Diesel,145,54.3,2.0
Ford_Focus,2017,11498,Manual,9148,Petrol,145,61.4,1.0
Ford_Fiesta,2017,10998,Manual,13548,Petrol,0,65.7,1.0
Ford_Mondeo,2019,22998,Automatic,7337,Hybrid,140,47.1,2.0
Ford_Fiesta,2015,8498,Manual,6649,Petrol,125,54.3,1.2
Ford_Focus,2017,11998,Manual,7690,Petrol,150,60.1,1.0
Ford_Fiesta,2019,11898,Manual,3396,Petrol,150,48.7,1.1
Ford_Fiesta,2019,11498,Manual,15766,Petrol,145,58.9,1.0
Ford_Fiesta,2019,13298,Manual,7349,Petrol,145,58.9,1.0
Ford_C-MAX,2016,9698,Manual,36860,Diesel,20,68.9,1.5
Ford_EcoSport,2018,10498,Manual,59498,Diesel,145,68.9,1.5
Ford_Kuga,2015,10998,Manual,17367,Diesel,125,60.1,2.0
Ford_Fiesta,2017,9598,Manual,14403,Petrol,145,64.2,1.1
Ford_Focus,2019,16998,Manual,20647,Petrol,145,60.1,1.0
Ford_Fiesta,2019,13498,Manual,13351,Petrol,145,58.9,1.0
Ford_Fiesta,2016,6998,Manual,34804,Petrol,125,54.3,1.2
Ford_Kuga,2017,15498,Manual,38113,Diesel,125,60.1,2.0
Ford_Fiesta,2018,9949,Manual,27399,Petrol,145,64.2,1.1
Ford_C-MAX,2018,12998,Manual,2455,Diesel,145,68.9,1.5
Ford_Edge,2016,20799,Automatic,52000,Diesel,200,47.9,2.0
Ford_Mustang,2020,38489,Automatic,3500,Petrol,145,30.7,2.3
Ford_Fiesta,2018,9489,Manual,35417,Petrol,145,64.2,1.1
Ford_Fiesta,2019,13949,Semi-Auto,11982,Petrol,145,48.7,1.0
Ford_Fiesta,2018,10990,Manual,28138,Petrol,145,56.5,1.0
Ford_Kuga,2017,13489,Manual,34805,Diesel,145,54.3,2.0
Ford_Focus,2015,7994,Manual,64612,Diesel,20,67.3,1.6
Ford_Fiesta,2018,11489,Manual,19665,Petrol,145,60.1,1.0
Ford_Kuga,2018,15699,Manual,17500,Diesel,150,64.2,1.5
Ford_Focus,2020,19998,Manual,4000,Diesel,145,74.3,1.5
Ford_Focus,2020,19489,Manual,5000,Diesel,145,74.3,1.5
Ford_Focus,2019,14998,Manual,7000,Petrol,145,58.9,1.0
Ford_EcoSport,2016,9199,Manual,26445,Diesel,30,64.2,1.5
Ford_C-MAX,2017,10489,Manual,26445,Diesel,20,68.9,1.5
Ford_EcoSport,2018,11489,Manual,2922,Diesel,145,64.2,1.5
Ford_Mustang,2018,29998,Automatic,3000,Petrol,145,28.8,2.3
Ford_Mustang,2018,31498,Automatic,6250,Petrol,145,23.5,5.0
Ford_Focus,2018,11999,Manual,6691,Petrol,145,61.4,1.0
Ford_Grand Tourneo Connect,2018,15990,Automatic,9486,Diesel,145,56.6,1.5
Ford_Focus,2019,16998,Automatic,8703,Petrol,145,40.9,1.5
Ford_EcoSport,2019,15489,Manual,5636,Diesel,145,68.9,1.5
Ford_S-MAX,2019,22489,Manual,8224,Diesel,145,56.5,2.0
Ford_S-MAX,2019,22489,Manual,4000,Diesel,145,56.5,2.0
Ford_Fiesta,2015,5998,Manual,55898,Diesel,0,78.5,1.5
Ford_Focus,2017,10998,Manual,28001,Petrol,145,60.1,1.0
Ford_Kuga,2014,11498,Manual,36052,Diesel,160,47.9,2.0
Ford_Mustang,2016,24999,Semi-Auto,42086,Petrol,570,23.5,5.0
Ford_Kuga,2017,15298,Manual,34673,Diesel,125,60.1,2.0
